Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",111.300000,-95.800000,45.000000,top
"C2","100n","C_0402_1005Metric",115.300000,-96.303158,-45.000000,top
"C3","100n","C_0402_1005Metric",118.939411,-104.760589,-135.000000,top
"C4","100n","C_0402_1005Metric",110.439411,-108.360589,135.000000,top
"C5","10u","C_0603_1608Metric",116.360660,-95.242498,-45.000000,top
"C6","10n","C_0402_1005Metric",108.125000,-98.650000,45.000000,top
"C7","1u","C_0402_1005Metric",101.239410,-105.560588,-90.000000,top
"C8","1u","C_0402_1005Metric",103.239411,-105.560589,-90.000000,top
"C9","100n","C_0402_1005Metric",105.239410,-102.560588,-90.000000,top
"C10","10p","C_0402_1005Metric",105.839411,-95.160589,90.000000,top
"C11","10p","C_0402_1005Metric",105.839411,-97.180589,90.000000,top
"C12","22u","C_0805_2012Metric",121.900000,-97.100000,-90.000000,top
"C13","22u","C_0805_2012Metric",126.900000,-102.200000,180.000000,top
"D1","BLUE","LED_0603_1608Metric",134.725000,-94.175000,90.000000,top
"FB1","120R","L_0603_1608Metric",102.239410,-103.560589,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",134.995000,-106.005000,90.000000,top
"J2","Conn_01x18","PinHeader_1x18_P2.54mm_Vertical",87.900000,-89.000000,90.000000,top
"J3","Conn_01x18","PinHeader_1x18_P2.54mm_Vertical",87.900000,-114.000000,90.000000,top
"R1","10k","R_0402_1005Metric",88.600000,-100.900000,0.000000,top
"R2","1k5","R_0402_1005Metric",129.300000,-105.465000,-90.000000,top
"R3","1k5","R_0402_1005Metric",131.740000,-95.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",82.570000,-100.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",112.839411,-102.360589,-45.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",126.900000,-96.200000,90.000000,top
"Y1","16MHZ","Crystal_SMD_3225-4Pin_3.2x2.5mm",103.339411,-95.940589,-90.000000,top
