Designator,Mid X,Mid Y,Rotation,Layer
C1,107.4,-95.6,45.0,top
C10,100.8,-94.12,90.0,top
C11,100.8,-96.14,90.0,top
C12,121.65,-96.0,270.0,top
C13,126.5,-101.9,180.0,top
C2,111.45,-96.05,315.0,top
C3,115.2,-104.25,225.0,top
C4,106.660589,-108.039411,135.0,top
C5,112.471249,-95.031909,315.0,top
C6,104.010589,-98.489411,45.0,top
C7,99.694977,-102.927208,315.0,top
C8,98.754523,-105.45158,135.0,top
C9,102.210589,-102.089411,180.0,top
D1,119.680252,-101.59,180.0,top
FB1,99.2,-104.2,315.0,top
J1,134.995,-106.255,90.0,top
R1,116.0,-100.5,225.0,top
R2,123.7,-105.7,270.0,top
R3,120.104516,-102.933503,180.0,top
U1,108.95,-102.15,225.0,top
U2,126.5,-96.0,270.0,top
Y1,98.3,-94.9,270.0,top
